-2.2854492664,-4.4636144638,2.6313869953,0.10292007,0.04003026,0.01959592,0.02383296,0.06364417,0.07740533,0.32862535,0.3996806,0.0105343508,0.0217038654
-3.0463769436,-4.037774086,2.6313869953,0.07921146,0.03437691,0.02100639,0.0255484,0.08034697,0.09771958,0.25292343,0.30761049,0.0092214644,0.0059662247
-3.8073046207,-3.6119334698,2.6313869953,0.06284267,0.02984178,0.02257481,0.02745594,0.10460404,0.12722159,0.20065747,0.2440436,0.0099585094,0.0185697824
-4.6523566246,-3.138266325,2.6230535507,0.04997347,0.0257817,0.02453187,0.02983615,0.1470682,0.17886739,0.15956605,0.19406722,0.0236259848,0.0216701776
-5.3101024628,-2.4850823879,2.1730544567,0.10890714,0.02429514,0.01681719,0.0348722,0.0863428,0.25470859,0.17631046,0.15733386,0.0132643078,0.0356014073
-5.9438257217,-0.8410642743,1.7230542898,0.08966005,0.03148262,0.02204571,0.03308041,0.04900029,0.25043033,0.3709497,0.13025267,0.0162015352,0.019777853
-5.8016443253,0.9089859724,1.2730556726,0.0527386,0.04441115,0.02113926,0.01780136,0.07156288,0.08050912,0.32652214,0.27496425,0.0104460185,0.0063094432
-4.9118647575,2.416623354,0.8230552673,0.10204442,0.04091998,0.01862005,0.02630074,0.06875514,0.12567612,0.12268633,0.22425573,0.0288992785,0.0126166157
-3.4058935642,3.6798400879,0.6813887358,0.07379017,0.03182981,0.01941089,0.03380053,0.08338478,0.20790982,0.12679044,0.12100043,0.0136114229,0.0236088838
-1.8897389174,4.5618610382,0.323053956,0.0685461,0.02220194,0.02457951,0.03723388,0.0412212,0.27152098,0.30059777,0.06466411,0.0277772136,0.024869075
0.0545862988,4.6717967987,-0.1769453734,0.04627587,0.03168587,0.02602671,0.02461908,0.07151283,0.1235737,0.3589537,0.24578168,0.0034672816,0.0092198048
1.9561165571,4.1600270271,-0.2686118186,0.03035181,0.02468055,0.02707936,0.03263611,0.12427056,0.10105041,0.25828332,0.21002284,0.0093479874,0.0038407121
3.5297636986,3.3654327393,-0.6769454479,0.07415021,0.02464157,0.0205065,0.03285232,0.16324527,0.26152605,0.11881224,0.19034251,0.0198317822,0.006638845
4.6078538895,1.9690644741,-1.126943469,0.09227539,0.01887975,0.01710536,0.03884104,0.09858599,0.46115297,0.41781157,0.10184746,0.0144348117,0.0270236637
5.0408220291,0.2553853989,-1.4019414186,0.06680416,0.02298416,0.01926304,0.042835,0.06253192,0.4891855,0.71412869,0.24569798,0.0183101613,0.0146234473
5.3386116028,-1.4913963079,-1.4019414186,0.04422842,0.01521691,0.01848011,0.07068743,0.1031918,0.6428108,0.93839556,0.32285761,0.0196725111,0.03007311
