-2.285449266433716 -4.463614463806152 2.6313869953155518 [ 0.10292007  0.04003026  0.01959592  0.02383296  0.06364417  0.07740533 0.32862535  0.3996806 ] {'loss': [0.010534350760281086, 0.021703865379095078]}  
-3.046376943588257 -4.037774085998535 2.6313869953155518 [ 0.07921146  0.03437691  0.02100639  0.0255484   0.08034697  0.09771958 0.25292343  0.30761049] {'loss': [0.0092214643955230713, 0.0059662247076630592]}  
-3.807304620742798 -3.611933469772339 2.6313869953155518 [ 0.06284267  0.02984178  0.02257481  0.02745594  0.10460404  0.12722159 0.20065747  0.2440436 ] {'loss': [0.0099585093557834625, 0.018569782376289368]}  
-4.6523566246032715 -3.1382663249969482 2.623053550720215 [ 0.04997347  0.0257817   0.02453187  0.02983615  0.1470682   0.17886739 0.15956605  0.19406722] {'loss': [0.023625984787940979, 0.021670177578926086]}  
-5.310102462768555 -2.4850823879241943 2.1730544567108154 [ 0.10890714  0.02429514  0.01681719  0.0348722   0.0863428   0.25470859 0.17631046  0.15733386] {'loss': [0.013264307752251625, 0.035601407289505005]}  
-5.943825721740723 -0.8410642743110657 1.72305428981781 [ 0.08966005  0.03148262  0.02204571  0.03308041  0.04900029  0.25043033 0.3709497   0.13025267] {'loss': [0.016201535239815712, 0.019777853041887283]}  
-5.801644325256348 0.90898597240448 1.2730556726455688 [ 0.0527386   0.04441115  0.02113926  0.01780136  0.07156288  0.08050912 0.32652214  0.27496425] {'loss': [0.010446018539369106, 0.0063094431534409523]}  
-4.911864757537842 2.41662335395813 0.8230552673339844 [ 0.10204442  0.04091998  0.01862005  0.02630074  0.06875514  0.12567612 0.12268633  0.22425573] {'loss': [0.028899278491735458, 0.012616615742444992]}  
-3.405893564224243 3.679840087890625 0.6813887357711792 [ 0.07379017  0.03182981  0.01941089  0.03380053  0.08338478  0.20790982 0.12679044  0.12100043] {'loss': [0.013611422851681709, 0.02360888384282589]}  
-1.889738917350769 4.561861038208008 0.3230539560317993 [ 0.0685461   0.02220194  0.02457951  0.03723388  0.0412212   0.27152098 0.30059777  0.06466411] {'loss': [0.027777213603258133, 0.024869075044989586]}  
0.054586298763751984 4.671796798706055 -0.17694537341594696 [ 0.04627587  0.03168587  0.02602671  0.02461908  0.07151283  0.1235737 0.3589537   0.24578168] {'loss': [0.0034672815818339586, 0.0092198047786951065]}  
