1.0 0.0 2.1771284082205966e-05 [[ 0.51119888  0.50323445  0.45849738  0.4773832   0.48672795  0.50233483 0.53232086  0.46452555  0.47585499  0.46571165  0.50507873  0.4840706 0.45528772  0.49089894  0.51160365  0.49316484  0.47950056  0.50232065 0.50240529  0.50041658  0.50934654  0.48273379  0.46746227  0.47561052]] 
1.0 0.0 2.237045919173397e-05 [[ 0.51118648  0.50322205  0.4584946   0.47740015  0.48672283  0.50232863 0.53231353  0.46451497  0.47587681  0.46571428  0.50508106  0.48407027 0.45532677  0.49089783  0.51157385  0.49315813  0.47949806  0.50233018 0.50239056  0.50044286  0.50935608  0.48271325  0.4674575   0.47562337]] 
1.0 0.0 2.2969634301261976e-05 [[ 0.51118958  0.50321037  0.45850986  0.47742039  0.48670754  0.50230718 0.53230041  0.46453419  0.47585559  0.46571109  0.5050754   0.48407134 0.45529237  0.49089009  0.51156169  0.49313021  0.47950029  0.50233221 0.50235933  0.50044626  0.50935084  0.48270938  0.4674423   0.47563955]] 
1.0 0.0 2.3468946892535314e-05 [[ 0.51120627  0.50321645  0.45851472  0.47743276  0.48671988  0.50232905 0.53233004  0.46454501  0.47585478  0.46570748  0.50509906  0.4840768 0.45528787  0.49090695  0.51156414  0.49312931  0.47952056  0.502325 0.50236797  0.5004524   0.50935578  0.48269936  0.46744376  0.47563305]] 
1.0 0.0 2.406812200206332e-05 [[ 0.51112986  0.50316024  0.45853773  0.47736654  0.48670393  0.50233835 0.53232235  0.46453348  0.47582224  0.46566078  0.50506204  0.48404762 0.45527959  0.49088523  0.51160872  0.49315211  0.47955272  0.50237077 0.50236952  0.50047815  0.50936729  0.48274109  0.46740276  0.47560504]] 
1.0 0.0 2.4667297111591324e-05 [[ 0.51114589  0.50316954  0.45851976  0.47734788  0.48672774  0.50231165 0.5323447   0.46449697  0.47583419  0.46565956  0.50504887  0.48402658 0.45529002  0.49086154  0.51163286  0.49316385  0.47954261  0.50234216 0.50236857  0.50046402  0.50939339  0.48275489  0.46741548  0.47561049]] 
1.0 0.0 2.5166609702864662e-05 [[ 0.51116097  0.50318122  0.45849404  0.47736627  0.48671216  0.50230736 0.53233612  0.46451953  0.47584313  0.46564734  0.50505418  0.48402986 0.45526114  0.49086627  0.51164728  0.49314746  0.4795607   0.50230622 0.50234765  0.50042838  0.50937951  0.48273662  0.46743402  0.47561303]] 
1.0 0.0 2.5765784812392667e-05 [[ 0.51118082  0.50318825  0.45848566  0.47740108  0.48672616  0.50231552 0.53232485  0.46452186  0.47585544  0.46566692  0.50503463  0.48402667 0.45525926  0.49085477  0.51162541  0.49315172  0.47957158  0.50231463 0.50236785  0.50043213  0.50935662  0.48275489  0.46744782  0.47564286]] 
1.0 0.0 2.6364959921920672e-05 [[ 0.51111156  0.5031693   0.45851386  0.47739711  0.48668537  0.50235158 0.53230441  0.46456131  0.47581559  0.46560991  0.50498855  0.48406109 0.45532116  0.49085248  0.51161683  0.4931784   0.47954899  0.50237477 0.50234586  0.50051934  0.50936371  0.48270103  0.46738261  0.47559041]] 
1.0 0.0 2.686427251319401e-05 [[ 0.51113153  0.50314552  0.45848763  0.47737655  0.4866586   0.50232339 0.53232205  0.46452612  0.47586212  0.46562397  0.50497866  0.48406887 0.45529887  0.49088347  0.51162159  0.49313912  0.47956568  0.5023821 0.50234169  0.50049919  0.5093475   0.4827255   0.4674198   0.47560862]] 
1.0 0.0 2.7463447622722015e-05 [[ 0.51113343  0.50315583  0.45849791  0.47737846  0.48666713  0.50231659 0.5323233   0.46452704  0.47584441  0.46562356  0.50499099  0.48407522 0.45529413  0.49087989  0.51161331  0.4931252   0.47954851  0.50238323 0.50235492  0.50050187  0.50934345  0.48273498  0.4674105   0.47560674]] 
1.0 0.0 2.806262273225002e-05 [[ 0.51114917  0.50317234  0.45849305  0.47740096  0.48668569  0.50231683 0.53232795  0.46451318  0.47584671  0.4656302   0.50500572  0.48409176 0.4552778   0.49090552  0.51162195  0.49310642  0.47954816  0.50238544 0.50236094  0.50046426  0.50933439  0.48271787  0.46742034  0.47562104]] 
